Animals;Predators;Chitons ;Method;Reference
Snails;Amplidrupa clathrata;No specified ;Gut content;Taylor (1983)
Snails;Drupa morum;No specified ;Gut content;Taylor (1983)
Snails;Lirabuccinum dirum;Katharina tunicata;Manipulative experiment;Louda (1979)
Snails;L. dirum;Tonicella lineata;Manipulative experiment;Louda (1979)
Snails;Sistrum ricinus;No specified ;Gut content;Taylor (1983)
Octopuses;Octopus spp.;Achantopleura granulata;No specified ;Wodinsky (1969)
Octopuses;Octopus spp.;Stenoplax conspicua;No specified ;Wodinsky (1969)
Octopuses;Octopus bimaculatus;S. conspicua;Manipulative experiment/ Prey remains;"Pilson & Taylor (1961); Ambrose (1984)"
Octopuses;O. bimaculatus;Callistochiton sp.;Prey remains;Ambrose (1984)
Octopuses;Octopus bimaculoides;S. conspicua;Manipulative experiment;Pilson & Taylor (1961)
Octopuses;Octopus insularis;No specified ;Stable isotopes;Dantas et al. (2020)
Octopuses;O. insularis;Chiton tuberculatus;Prey remains;Mather & Nixon (1990)
Octopuses;Octopus mimus;Chiton granosus;Manipulative experiment;Cortez et al. (1998)
Octopuses;O. mimus;Enoplochiton echinatus;Manipulative experiment;Cortez et al. (1998)
Worms;Hermodice carunculata;Rhyssoplax olivacea;Manipulative experiment;Simonini et al. (2018)
Crabs;Carcinus maenas;Lepidochitona cinerea;Manipulative experiment/ Stomach content;"Silva et al. (2010a); Mendonca et al. (2016)"
Crabs;Cancer pagurus;L. cinerea;Stomach content;Silva et al. (2010a)
Crabs;Eriphia smithii;Acanthopleura gemmata;Direct observation;Chelazzi et al. (1983)
Crabs;Eriphia verrucosa;L. cinerea;Stomach content;Silva et al. (2010b)
Crabs;Hemigrapsus nudus;Cyanoplax hartwegii;Manipulative experiment;DeBevoise (1975)
Crabs;Maja squinado;Acanthochitona crinita;Gut content;Bernardez et al. (2000)
Crabs;Necora puber;L. cinerea;Stomach content;Silva et al. (2010a)
Crabs;Ozius guttatus;A. gemmata;Direct observation;Chelazzi et al. (1983)
Crabs;Pachygrapsus crassipes;C. hartwegii;Manipulative experiment;DeBevoise (1975)
Crabs;Pachygrapsus marmoratus;L. cinerea;Stomach content;Silva et al. (2009)
Lobsters;Panulirus argus;Acanthochitona spp.;Gut content;Cox et al. (1997)
Lobsters;P. argus;Stenoplax spp.;Gut content;Cox et al. (1997)
Starfishes;Anasterias antarctica;Plaxiphora aurata;Direct observation;Laptikhovsky et al. (2015)
Starfishes;A. antarctica;Tonicia spp.;Direct observation;Laptikhovsky et al. (2015)
Starfishes;Asterias rubens;L. cinerea;Stomach content;Whilde (1985)
Starfishes;Astrostole scabra;Chiton glaucus;Manipulative experiment;Town (1980)
Starfishes;A. scabra;Ischnochiton maorianus;Manipulative experiment;Town (1980)
Starfishes;A. scabra;Onithochiton neglectus;Manipulative experiment;Town (1980)
Starfishes;Dermasterias imbricata;T. lineata;Stomach content;Mauzey et al. (1968)
Starfishes;Heliaster helianthus;Chaetopleura hennahi;Direct observation;Tokeshi et al. (1989)
Starfishes;H. helianthus;Enoplochiton niger;Direct observation;Tokeshi et al. (1989)
Starfishes;Leptasterias pusilla;C. hartwegii;Manipulative experiment;DeBevoise (1975)
Starfishes;Meyenaster gelatinosus;Chiton spp.;Direct observation;Ortiz et al. (2003)
Starfishes;Orthasterias koehleri;No specified;Stomach content;Mauzey et al. (1968)
Starfishes;Patiria miniata;C. hartwegii;Manipulative experiment;DeBevoise (1975)
Starfishes;Pisaster ochraceus;C. hartwegii;Manipulative experiment;DeBevoise (1975)
Starfishes;P. ochraceus;K. tunicata;Stomach content;Mauzey (1966)
Starfishes;P. ochraceus;T. lineata;Stomach content;Mauzey (1966)
Starfishes;P. ochraceus;Mopalia spp.;Stomach content;Mauzey (1966)
Starfishes;Stylasterias forreri;T. lineata;Stomach content;Mauzey et al. (1968)
Fishes;Abudefduf taurus;No specified;Stomach content;Randall (1967)
Fishes;Anisotremus virginicus;No specified;Stomach content;Randall (1967)
Fishes;Arothron immaculatus;A. gemmata;Direct observation;Chelazzi et al. (1983)
Fishes;Balistes vetula;No specified;Stomach content;"Randall (1967); Reinthal et al. (1984)"
Fishes;Bodianus rufus;Calloplax janeirensis;Stomach content;Randall (1967)
Fishes;Calamus calamus;No specified;Stomach content;Randall (1967)
Fishes;Coris gaimard;No specified;Gut content;Shibuno et al. (1994)
Fishes;Diplodus caudimacula;No specified;Stomach content;Randall (1967)
Fishes;Diplodus vulgaris;Acanthochitona fascicularis;Gut content;Pallaoro et al. (2006)
Fishes;D. vulgaris;Callochiton laevis;Gut content;Pallaoro et al. (2006)
Fishes;D. vulgaris;Rhyssoplax corallina;Gut content;Pallaoro et al. (2006)
Fishes;D. vulgaris;Rhyssoplax olivacea;Gut content;Pallaoro et al. (2006)
Fishes;D. vulgaris;Ischnochiton rissoi;Gut content;Pallaoro et al. (2006)
Fishes;D. vulgaris;Lepidopleurus cajetanus;Gut content;Pallaoro et al. (2006)
Fishes;Epinephelus adscensionis;Acanthochitona hemphilli;Stomach content;Randall (1967)
Fishes;Haemulon album;No specified;Stomach content;Randall (1967)
Fishes;Haemulon carbonarium;Ischnochiton papillosus;Stomach content;Randall (1967)
Fishes;Haemulon flavolineatum;Acanthochitona pygmaea;Stomach content;Randall (1967)
Fishes;Haemulon plumierii;I. papillosus;Stomach content;Randall (1967)
Fishes;Halichoeres bivittatus;A. pygmaea;Stomach content;Randall (1967)
Fishes;H. bivittatus;Ischnochiton spp.;Stomach content;Randall (1967)
Fishes;Halichoeres garnoti;No specified;Stomach content;Randall (1967)
Fishes;Halichoeres maculipinna;No specified;Stomach content;Randall (1967)
Fishes;Halichoeres poeyi;I. papillosus;Stomach content;Randall (1967)
Fishes;Halichoeres radiatus;I. papillosus;Stomach content;Randall (1967)
Fishes;Hippocampus guttulatus;No specified;Metabarcoding;Lazic et al. (2021)
Fishes;Holocentrus rufus;A. pygmaea;Stomach content;Randall (1967)
Fishes;Gobioclinus guppyi;No specified;Stomach content;Randall (1967)
Fishes;Lactophrys trigonus;Acanthochitona sp.;Stomach content;Randall (1967)
Fishes;Lactophrys triqueter;No specified;Stomach content;Randall (1967)
Fishes;Lipophrys pholis;L. cinearea;Gut content;Maze et al. (1999)
Fishes;L. pholis;Acanthochitona crinita;Gut content;Maze et al. (1999)
Fishes;Malacanthus plumieri;Choneplax lata;Stomach content;Randall (1967)
Fishes;Mulloidichthys martinicus;A. pygmaea;Stomach content;Randall (1967)
Fishes;Neoniphon vexillarium;C. lata;Stomach content;Randall (1967)
Fishes;Notolabrus tetricus;Rhyssoplax diaphora;Stomach content;Shepherd & Clarkson (2001)
Fishes;N. tetricus;Cryptoplax striata;Stomach content;Shepherd & Clarkson (2001)
Fishes;N. tetricus;Ischnochiton australis;Stomach content;Shepherd & Clarkson (2001)
Fishes;N. tetricus;Ischnochiton cariosus;Stomach content;Shepherd & Clarkson (2001)
Fishes;N. tetricus;Ischnochiton elongatus;Stomach content;Shepherd & Clarkson (2001)
Fishes;N. tetricus;Ischnochiton lineolatus;Stomach content;Shepherd & Clarkson (2001)
Fishes;N. tetricus;Notoplax speciosa;Stomach content;Shepherd & Clarkson (2001)
Fishes;Salaria pavo;R. olivacea;Stomach content;Santic et al. (2007)
Fishes;S. pavo;R. corallina;Stomach content;Santic et al. (2007)
Fishes;Sphoeroides spengleri;No specified;Stomach content;Randall (1967)
Fishes;Thalassoma lutescens;No specified;Gut content;Gushima et al. (1991)
Birds;Haematopus bachmani;K. tunicata;Prey remains;Bergman et al. (2013)
Birds;H. bachmani;Mopalia muscosa;Prey remains;Bergman et al. (2013)
Birds;Histrionicus histrionicus;Mopalia spp.;"Esophagi/Gizzard content; Fecal sample";"Gaines & Fitzner (1987); Rodway & Cooke (2000)"
Birds;H. histrionicus;T. lineata;Fecal sample;Rodway & Cooke (2002)
Birds;Larus dominicanus;No specified;Regurgitation pellets;Petracci et al. (2004)
Birds;Larus glaucescens;K.tunicata;Regurgitation pellets/ Manipulative experiment;Irons et al. (1986)
Birds;L. glaucescens;Mopalia sp.;Regurgitation pellets/ Manipulative experiment;Irons et al. (1986)
Birds;Larus occidentalis;K. tunicata;Regurgitation pellets;Moore (1975)
Birds;L. occidentalis;M. muscosa;Regurgitation pellets;Moore (1975)
Birds;L. occidentalis;Nuttallina californica;Regurgitation pellets;Moore (1975)
Birds;Somateria mollissima;Tonicella marmorea;Stomach content;Kristjansson et al. (2013)
Birds;S. mollissima;Boreochiton ruber;Stomach content;Kristjansson et al. (2013)
Birds;S. mollissima;Stenosemus albus;Stomach content;Kristjansson et al. (2013)
Mammals;Enhydra lutris;Cryptochiton stelleri;Direct observation;Johnstone et al. (2024)
